"CasinoManufacturerId,""CasinoManufacturerName"",""FromDate"",""ToDate"",""LatestFlag"""
206,Jogo,2024-07-18 13:45:46.543,,1
207,Jelly,2024-01-19 10:19:50.263,,1
208,TheEar,2024-11-20 13:59:48.267,,1
210,Spinoro,2024-02-28 09:38:51.703,,1
211,Aviatrix,2024-03-20 10:38:57.480,,1
214,Octoplay,2024-07-26 12:25:17.837,,1
215,Imagine Live,2024-02-29 09:33:17.910,2025-05-26 08:03:28.707,0
215,ImagineLive,2025-05-26 08:03:28.707,,1
216,CT Interactive,2024-04-26 13:52:38.477,2025-05-23 13:23:50.293,0
216,CTInteractive,2025-05-23 13:23:50.293,,1
"217,""7777_Gaming"",2024-04-17 13:57:17.367,2024-06-04 07:33:22.147,0"
"217,""7777Gaming"",2024-06-04 07:33:22.147,,1"
218,KA Gaming,2024-05-02 13:29:11.437,2025-05-14 12:45:25.767,0
218,Fun Fiesta,2025-05-14 12:45:25.767,2025-05-26 08:03:28.707,0
218,FunFiesta,2025-05-26 08:03:28.707,,1
219,ZeusPlay,2024-08-21 09:42:51.960,,1
221,Coin Machine Gaming,2024-06-12 10:24:03.347,2025-05-26 08:03:28.707,0
221,CoinMachineGaming,2025-05-26 08:03:28.707,,1
222,Triple Cherry,2024-06-17 14:02:23.530,2025-05-26 08:03:28.707,0
222,TripleCherry,2025-05-26 08:03:28.707,,1
223,TaDa Gaming,2024-09-09 10:58:21.117,2025-05-23 07:20:46.750,0
223,TaDaGaming,2025-05-23 07:20:46.750,,1
224,Slotmill,2024-07-17 12:23:03.537,,1
225,Holle Games,2024-08-02 11:13:24.100,2025-05-26 08:03:28.707,0
225,HolleGames,2025-05-26 08:03:28.707,,1
226,Flip Five Gaming,2024-07-29 09:32:47.590,2025-05-26 08:03:28.707,0
226,FlipFiveGaming,2025-05-26 08:03:28.707,,1
227,Caleta Gaming,2024-07-29 11:54:36.700,2025-05-26 08:03:28.707,0
227,CaletaGaming,2025-05-26 08:03:28.707,,1
228,ODDSworks,2024-08-14 10:33:57.320,,1
230,Vivo Gaming,2024-07-31 10:41:26.867,2025-05-26 08:03:28.707,0
230,VivoGaming,2025-05-26 08:03:28.707,,1
231,Bullshark Games,2024-08-14 10:26:05.857,2025-05-22 13:57:07.797,0
231,BullsharkGames,2025-05-22 13:57:07.797,,1
232,NowNow Gaming,2024-11-19 09:58:00.857,2025-05-22 13:48:03.287,0
232,NowNowGaming,2025-05-22 13:48:03.287,,1
233,Crucible Gaming,2024-09-03 10:38:17.833,2025-05-26 08:03:28.707,0
233,CrucibleGaming,2025-05-26 08:03:28.707,,1
234,S Gaming,2024-09-27 13:11:46.317,2025-05-26 08:03:28.707,0
234,SGaming,2025-05-26 08:03:28.707,,1
235,Novibet Originals,2024-10-17 09:01:37.253,,1
236,Expanse Studios,2024-10-22 12:06:17.593,2025-05-23 10:12:59.753,0
236,ExpanseStudios,2025-05-23 10:12:59.753,,1
237,L&W Spark,2024-10-25 07:05:20.137,2025-05-26 08:03:28.707,0
237,LWSpark,2025-05-26 08:03:28.707,,1
238,Nationale Elettronica,2025-01-20 13:52:46.453,2025-04-23 14:15:26.513,0
238,Nazionale Elettronica,2025-04-23 14:15:26.513,2025-05-23 08:19:01.830,0
238,NazionaleElettronica,2025-05-23 08:19:01.830,,1
239,RubyPlay,2025-02-07 08:38:11.930,,1
240,Platipus,2025-02-12 15:25:02.620,,1
241,Elbet,2025-02-20 09:36:50.070,,1
242,Swintt,2025-03-26 13:23:20.523,,1
243,Spinmatic,2025-03-26 14:42:32.403,,1
252,Relax Gaming,2025-05-06 09:07:57.960,,1
253,TrustyGaming,2025-05-07 13:30:55.363,,1
254,KitsuneStudios,2025-05-07 13:32:11.323,,1
255,AceRoll,2025-05-12 13:29:28.310,,1
256,Eurasian,2025-05-13 13:00:44.387,,1
